"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,-0.532474665485484,-0.210272915447065,"8","13","220","2","7","4"
"public",1,-0.119285733922899,-0.210532659674602,"28","22","990","2","7","4"
"public",0,-0.52445915488178,-0.194181760551157,"8","14","150","2","4","1"
"public",0,-1.00560259227045,-0.215954820424433,"8","13","160","2","7","6"
"public",0,-0.707184423157354,-0.18783750779357,"8","13","220","2","7","6"
"public",0,-0.896506527593498,-0.212545677438012,"8","14","160","2","4","7"
"public",0,-0.662425244476497,-0.215240523798707,"8","22","160","2","4","7"
"public",0,-0.813726873836668,-0.218552262699802,"8","14","240","2","4","6"
"public",1,0.187857283015468,-0.20365268444772,"8","15","160","2","3","6"
"public",2,1.80443681096591,-0.219367210213699,"8","22","220","2","1","1"
"public",0,-0.266118538787199,-0.205655961802598,"8","13","160","2","2","5"
"public",0,-0.721938637365941,-0.211961252926054,"8","14","330","2","7","8"
"public",0,-0.51828792105415,-0.205857263578939,"8","64","220","2","7","3"
"public",0,-0.418626041424033,-0.202545524677844,"8","51","220","2","7","9"
"public",0,-1.00496418877104,-0.205045562867886,"1","64","110","2","2","6"
"public",0,-0.683137891346244,-0.212318401238918,"8","64","230","2","7","8"
"public",0,-0.52616156421354,-0.158778622337886,"8","13","240","2","4","6"
"public",0,-1.19010120359994,-0.0415041036050016,"17","44","920","0","0","0"
"public",1,0.597144859859436,-0.203162417218244,"8","22","220","2","2","6"
"public",2,-0.0405493023289989,-0.14884989924029,"8","16","950","2","7","9"
"public",1,0.047408513145268,-0.218617198756686,"8","14","330","2","4","8"
"public",0,-1.03567849046488,-0.135206833688917,"28","81","240","2","7","6"
"public",0,-1.09001372163689,-0.198032468724391,"8","64","110","2","4","6"
"public",0,-0.942187844662391,-0.189882993585423,"8","13","220","2","7","6"
"public",0,-1.17236777306078,0.165999066168493,"17","44","920","2","7","0"
"public",0,-0.5044558452336,-0.215013247599612,"8","44","160","2","7","6"
"public",0,-1.14527109119693,-0.204883222725675,"8","64","530","2","4","6"
"public",3,0.512024393271436,-0.215013247599612,"8","15","160","3","4","5"
"public",1,1.06034206554247,-0.204295551410873,"8","16","330","2","3","4"
