"Asset_ID","Land_size","Land_value","longitude","latitude","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","cluster"
526,1614,48420000,126.9507,37.2802,3,22,254,572,90,895,172,76,7,127,26,835,46,123,149,4896,539,406,181,3
187317,743,101048000,126.9494,37.2702,13.6,17,201,456,75,709,147,64,7,114,22,628,31,110,120,3839,467,325,142,4
187322,96,13056000,126.9494,37.27,13.6,17,200,454,73,709,145,64,7,114,22,627,31,109,120,3834,468,323,141,4
187318,7,952000,126.9493,37.2699,13.6,17,200,452,73,706,144,64,7,113,22,621,30,109,119,3819,464,318,140,4
1038,201,6271200,126.9618,37.2699,3.12,22,298,601,87,963,216,75,7,157,40,1002,76,102,204,5546,672,490,211,3
1039,5095,218400,126.9487,37.2587,0.00428655544651619,14,177,411,57,497,116,64,6,90,15,532,30,101,97,3368,364,260,124,4
1040,13286,414523200,126.949,37.2574,3.12,14,170,397,58,493,114,63,6,88,16,516,31,96,91,3249,349,247,120,4
91241,738,115128000,127.0446,37.2943,15.6,34,596,1028,158,1880,419,85,8,350,72,1971,145,91,466,11100,1387,1056,421,2
188,20,3360000,127.044,37.2944,16.8,34,598,1031,159,1877,418,86,10,351,72,1978,143,92,466,11113,1395,1057,420,2
189,2517,326960000,127.046,37.2936,12.9900675407231,34,593,1041,157,1897,420,86,8,351,72,1969,147,88,460,10987,1378,1057,417,2
190,197,84194000,127.0439,37.2936,42.7380710659898,34,606,1056,159,1911,424,86,11,358,75,2008,147,88,467,11317,1415,1068,426,2
185332,78,44049380,126.9636,37.3019,56.4735641025641,21,303,653,105,981,208,80,4,131,38,1009,70,112,178,5500,591,462,214,1
162034,83,6573600,126.9667,37.3165,7.92,23,291,658,99,985,227,72,6,135,36,1018,64,104,105,5172,566,455,205,3
157334,149,4857400,126.9668,37.3148,3.26,23,301,655,98,992,225,76,6,136,36,1058,67,107,131,5469,588,461,210,3
